Movie URL,Count in File1,Count in File2,Count in File3_pred,Count in File3_label,Total Count
<http://dbpedia.org/resource/...When_Love_Happens>,1,0,0,0,1
<http://dbpedia.org/resource/020>,1,0,0,0,1
<http://dbpedia.org/resource/101_Dalmatians_(1996_film)>,10,0,0,0,10
<http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure>,0,1,0,0,1
<http://dbpedia.org/resource/10_Cloverfield_Lane>,34,1,0,1,36
<http://dbpedia.org/resource/10_Things_I_Hate_About_You>,48,8,3,6,65
<http://dbpedia.org/resource/127_Hours>,9,0,1,2,12
<http://dbpedia.org/resource/12_(2007_film)>,2,0,0,0,2
<http://dbpedia.org/resource/12_Angry_Men_(1957_film)>,9,2,0,0,11
<http://dbpedia.org/resource/12_Angry_Men_(1997_film)>,1,0,0,0,1
<http://dbpedia.org/resource/12_Monkeys>,21,2,0,3,26
<http://dbpedia.org/resource/12_Rounds_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/12_Strong>,14,7,0,0,21
<http://dbpedia.org/resource/12_Years_a_Slave_(film)>,15,0,0,1,16
<http://dbpedia.org/resource/13_Assassins_(2010_film)>,1,0,0,0,1
<http://dbpedia.org/resource/13_Ghosts>,10,0,0,0,10
<http://dbpedia.org/resource/13_Going_on_30>,35,3,0,1,39
<http://dbpedia.org/resource/13_Hours:_The_Secret_Soldiers_of_Benghazi>,32,0,2,0,34
<http://dbpedia.org/resource/13th_(film)>,5,1,0,0,6
<http://dbpedia.org/resource/15_Park_Avenue>,0,1,0,0,1
<http://dbpedia.org/resource/17_Again_(film)>,5,0,0,0,5
<http://dbpedia.org/resource/18_Again!>,0,0,0,1,1
<http://dbpedia.org/resource/1922_(1978_film)>,13,0,0,1,14
<http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)>,4,0,0,0,4
<http://dbpedia.org/resource/20th_Century_Women>,0,1,0,0,1
<http://dbpedia.org/resource/21_(2008_film)>,1,1,0,0,2
<http://dbpedia.org/resource/21_Grams>,2,0,0,0,2
<http://dbpedia.org/resource/21_Jump_Street_(film)>,138,10,4,7,159
<http://dbpedia.org/resource/22_Jump_Street>,57,1,5,2,65
<http://dbpedia.org/resource/25th_Hour>,1,0,0,0,1
<http://dbpedia.org/resource/27_Dresses>,31,2,3,2,38
<http://dbpedia.org/resource/28_Days_(film)>,8,0,0,0,8
<http://dbpedia.org/resource/28_Days_Later>,22,4,3,2,31
<http://dbpedia.org/resource/28_Weeks_Later>,6,0,0,0,6
<http://dbpedia.org/resource/2_Fast_2_Furious>,13,0,0,1,14
<http://dbpedia.org/resource/2_Guns>,3,0,0,0,3
<http://dbpedia.org/resource/300:_Rise_of_an_Empire>,2,0,0,0,2
<http://dbpedia.org/resource/300_(film)>,57,0,4,5,66
<http://dbpedia.org/resource/300_Miles_to_Heaven>,1,0,0,0,1
<http://dbpedia.org/resource/30_Days_of_Night_(film)>,6,1,0,0,7
<http://dbpedia.org/resource/30_Minutes_or_Less>,0,2,0,0,2
<http://dbpedia.org/resource/35_and_Ticking>,4,0,0,0,4
<http://dbpedia.org/resource/3:10_to_Yuma_(1957_film)>,1,1,0,0,2
<http://dbpedia.org/resource/3:10_to_Yuma_(2007_film)>,11,0,0,0,11
<http://dbpedia.org/resource/3_Avengers>,2,1,0,0,3
<http://dbpedia.org/resource/3_Days_to_Kill>,2,0,0,0,2
<http://dbpedia.org/resource/3_Idiots>,10,0,0,3,13
<http://dbpedia.org/resource/3_Ninjas_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/40_Days_and_Nights>,1,0,0,0,1
